id,time
0,5473.447698354721
0,6151.207861661911
0,6016.260298967361
0,6039.355054616928
11,247.43087577819824
11,246.06635093688965
11,247.70607018470764
11,245.94298815727234
25,267.03704237937928
25,257.49438381195068
25,256.18327069282532
25,261.43974804878235
44,164.84044981002807
44,166.13129711151124
44,164.06739592552185
44,168.36461091041565
69,115.381594181060793
69,118.253829002380375
69,114.251275300979617
69,115.276204109191892
100,3.4727673530578613
100,3.430063486099243
100,3.51908540725708
100,3.384765386581421